nivel,local,total_base,presentes_dia1,presentes_dia2,presentes_ambos,somente_primeiro_ausente_segundo,somente_segundo_ausente_primeiro,ausentes_ambos,demais_situacoes,retencao_percentual,retencao_denominador,diferenca_liquida_dia2_menos_dia1,presente_dia1_sem_presenca_completa_dia2,presente_dia2_sem_presenca_completa_dia1,pct_presentes_ambos_base,pct_somente_primeiro_ausente_segundo_base,pct_somente_segundo_ausente_primeiro_base,pct_ausentes_ambos_base,pct_demais_situacoes_base,taxa_presenca_dia1,presente_dia1,ausente_dia1,eliminado_dia1,misto_dia1,dados_ausentes_dia1,codigo_invalido_dia1,taxa_presenca_dia2,presente_dia2,ausente_dia2,eliminado_dia2,misto_dia2,dados_ausentes_dia2,codigo_invalido_dia2
UF,BA,427983,302415,286432,284994,17237,1365,123767,620,94.23937304697188,302415,-15983,17421,1438,66.5900281085931,4.027496419250297,0.31893790173908776,28.918672003327234,0.14486556709028162,70.66051688968955,302415,125133,435,0,0,0,66.92602276258637,286432,141366,185,0,0,0
UF,CE,275902,216181,207949,206949,9109,924,58497,423,95.72950444303616,216181,-8232,9232,1000,75.00815506955368,3.301534602866235,0.33490152300454507,21.202093496966313,0.15331530760922357,78.35427071931338,216181,59421,300,0,0,0,75.3706026052729,207949,67830,123,0,0,0
UF,DF,82955,60673,56958,56633,3998,312,21886,126,93.34135447398349,60673,-3715,4040,325,68.26954372852751,4.819480441203062,0.3761075281779278,26.382978723404257,0.15188957868724007,73.13965402929298,60673,22198,84,0,0,0,68.66132240371286,56958,25955,42,0,0,0
UF,ES,85910,60911,56655,56380,4490,257,24625,158,92.56127793009473,60911,-4256,4531,275,65.6268187638226,5.226399720637877,0.2991502735420789,28.663717844255615,0.18391339774182283,70.90094284716564,60911,24883,116,0,0,0,65.9469211966011,56655,29213,42,0,0,0
UF,GO,166747,118643,110488,109987,8577,471,47450,262,92.70416290889474,118643,-8155,8656,501,65.96040708378561,5.143720726609774,0.28246385242313204,28.45628407107774,0.157124266103738,71.15150497460225,118643,47921,183,0,0,0,66.26086226438856,110488,56180,79,0,0,0
UF,MA,211370,152518,144338,143652,8799,657,57956,306,94.18691564274381,152518,-8180,8866,686,67.96234091876804,4.162842409045749,0.31082935137436724,27.419217485925156,0.1447698348866916,72.15688129819748,152518,58613,239,0,0,0,68.28689028717415,144338,66965,67,0,0,0
UF,MG,464937,326835,309272,307991,18663,1227,136440,616,94.23439962060367,326835,-17563,18844,1281,66.24359859507847,4.014092231850767,0.2639067228463211,29.345911381542017,0.13249106868242363,70.29662083249988,326835,137671,431,0,0,0,66.51911979472487,309272,155480,185,0,0,0
UF,MS,57932,40989,38129,37847,3104,277,16599,105,92.33452877601307,40989,-2860,3142,282,65.33004211834565,5.358005937996271,0.4781467927915487,28.65255817164952,0.18124697921701305,70.7536422012014,40989,16876,67,0,0,0,65.81681971967134,38129,19765,38,0,0,0
UF,MT,80396,51597,47584,47237,4325,334,28373,127,91.54989631180108,51597,-4013,4360,347,58.75541071695109,5.37962087666053,0.4154435544056918,35.29155679387034,0.1579680581123439,64.17856609781582,51597,28708,91,0,0,0,59.1870242300612,47584,32776,36,0,0,0
UF,PA,289328,202633,189777,188886,13611,848,85457,526,93.21581381117586,202633,-12856,13747,891,65.28438312226953,4.704349388928828,0.2930929602388984,29.53637394237682,0.1818005861859205,70.03573798595366,202633,86305,390,0,0,0,65.59233810761489,189777,99414,137,0,0,0
UF,PB,142035,105666,101308,100883,4726,402,35809,215,95.47347301875722,105666,-4358,4783,425,71.02685957686485,3.3273488928785158,0.28302883092195585,25.2113915584187,0.15137114091597142,74.39433942338157,105666,36213,156,0,0,0,71.32608159960573,101308,40668,59,0,0,0
UF,PE,272279,202852,192897,191948,10796,889,68244,402,94.62465245597775,202852,-9955,10904,949,70.4968065844226,3.9650505547618438,0.326503329305602,25.063996856165918,0.1476426753440405,74.50152233554553,202852,69137,290,0,0,0,70.8453461339288,192897,79269,113,0,0,0
UF,PI,120032,89161,86011,85679,3449,315,30439,150,96.09470508406142,89161,-3150,3482,332,71.38013196480938,2.8734004265529194,0.2624300186616902,25.35907091442282,0.12496667555318582,74.281025059984,89161,30755,116,0,0,0,71.6567248733671,86011,33987,34,0,0,0
UF,PR,195836,142507,132452,132004,10420,405,52659,348,92.62983572736778,142507,-10055,10503,448,67.40538001184665,5.320778610674237,0.20680569456075493,26.88933597499949,0.17769970791887088,72.76854102412223,142507,53065,264,0,0,0,67.63414285422496,132452,63300,84,0,0,0
UF,RJ,328943,235563,222154,221151,14291,958,92063,480,93.88189146852434,235563,-13409,14412,1003,67.23079682498184,4.344521695248113,0.2912358676123219,27.987523674314396,0.14592193784333457,71.61210300872796,235563,93022,358,0,0,0,67.53571287426698,222154,106666,123,0,0,0
UF,RN,113208,85759,82099,81832,3876,251,27086,163,95.42088876969181,85759,-3660,3927,267,72.28464419475655,3.4237863048547807,0.22171577980354745,23.925870963182813,0.14398275740230373,75.75348031941206,85759,27338,111,0,0,0,72.52049325136032,82099,31057,52,0,0,0
UF,RO,46798,31620,29470,29308,2288,156,14963,83,92.68817204301075,31620,-2150,2312,162,62.62660797469977,4.889097824693363,0.33334757895636563,31.973588614898073,0.17735800675242533,67.5669900423095,31620,15121,57,0,0,0,62.97277661438523,29470,17302,26,0,0,0
UF,RR,14158,9030,8261,8144,881,115,5001,17,90.18826135105205,9030,-769,886,117,57.5222489052126,6.222630315016246,0.8122616188727222,35.32278570419551,0.12007345670292414,63.780194942788526,9030,5116,12,0,0,0,58.348636813109195,8261,5892,5,0,0,0
UF,RS,186503,132433,121950,121437,10935,487,53386,258,91.6969335437542,132433,-10483,10996,513,65.11262553417372,5.863176463649379,0.26112180501117943,28.624740620794302,0.13833557637142566,71.00850924650005,132433,53873,197,0,0,0,65.38768813370294,121950,64492,61,0,0,0
UF,SC,110459,79740,73267,72924,6767,326,30283,159,91.45221971407074,79740,-6473,6816,343,66.01906589775392,6.1262549905394765,0.2951321304737504,27.41560216913063,0.14394481210222798,72.18968123919282,79740,30610,109,0,0,0,66.32958835404992,73267,37142,50,0,0,0
UF,SE,78341,59927,57044,56798,3095,234,18092,122,94.77864735428105,59927,-2883,3129,246,72.50098926488046,3.950677167766559,0.2986941703577948,23.093909957748817,0.15572943924637164,76.49506644030585,59927,18326,88,0,0,0,72.81500108500019,57044,21262,35,0,0,0
UF,SP,751612,544811,514500,511757,32796,2566,203525,968,93.93294188259782,544811,-30311,33054,2743,68.08792302411351,4.363421552609591,0.3413995518964572,27.078466017040707,0.1287898543397391,72.485670798231,544811,206094,707,0,0,0,68.45287196053283,514500,236849,263,0,0,0
UF,TO,37650,26650,24814,24697,1933,109,10836,75,92.671669793621,26650,-1836,1953,117,65.59628154050465,5.134130146082337,0.28950863213811423,28.780876494023904,0.199203187250996,70.78353253652058,26650,10945,55,0,0,0,65.9070385126162,24814,12816,20,0,0,0
